Category: All categories

Day,cyber attack: (Worldwide)
2017-04-01,1
2017-04-02,<1
2017-04-03,1
2017-04-04,1
2017-04-05,<1
2017-04-06,1
2017-04-07,1
2017-04-08,<1
2017-04-09,1
2017-04-10,1
2017-04-11,1
2017-04-12,1
2017-04-13,1
2017-04-14,1
2017-04-15,1
2017-04-16,1
2017-04-17,2
2017-04-18,2
2017-04-19,1
2017-04-20,1
2017-04-21,1
2017-04-22,1
2017-04-23,1
2017-04-24,1
2017-04-25,1
2017-04-26,1
2017-04-27,1
2017-04-28,1
2017-04-29,1
2017-04-30,1
2017-05-01,1
2017-05-02,1
2017-05-03,1
2017-05-04,1
2017-05-05,1
2017-05-06,1
2017-05-07,1
2017-05-08,1
2017-05-09,1
2017-05-10,1
2017-05-11,1
2017-05-12,80
2017-05-13,100
2017-05-14,55
2017-05-15,98
2017-05-16,39
2017-05-17,15
2017-05-18,7
2017-05-19,4
2017-05-20,2
2017-05-21,2
2017-05-22,2
2017-05-23,2
2017-05-24,2
2017-05-25,1
2017-05-26,2
2017-05-27,3
2017-05-28,2
2017-05-29,2
2017-05-30,2
2017-05-31,1
2017-06-01,2
2017-06-02,1
2017-06-03,1
2017-06-04,1
2017-06-05,1
2017-06-06,1
2017-06-07,1
2017-06-08,1
2017-06-09,1
2017-06-10,1
2017-06-11,1
2017-06-12,1
2017-06-13,1
2017-06-14,1
2017-06-15,2
2017-06-16,2
2017-06-17,<1
2017-06-18,<1
2017-06-19,1
2017-06-20,1
2017-06-21,1
2017-06-22,1
2017-06-23,1
2017-06-24,4
2017-06-25,2
2017-06-26,2
2017-06-27,55
2017-06-28,52
2017-06-29,17
2017-06-30,9
