category,created_on,lattitude,longitude,name,venue_id
food,1389103279,47.3712326,8.5438017,Kafi Schoffel,104
lodging,1405584310,49.2788858,-123.1129606,Sandman Hotel Vancouver City Centre,107
food,1429988771,50.9369979,6.9611641,Oscar Lounge,106
cafe,1377270448,49.2807244,-123.1224892,Waves Coffee House,108
default,1483131048,31.7588235518399,72.9114103317261,KAMRAN CHATTHA,9062
food,1397418338,30.5499212,-97.8533226,Great Wall Express,94
default,1483131059,31.7580390203886,72.9173648357391,KAMRAN CHATTHA,9063
default,1384862630,50.6973488,15.2702063,Royal Bohemian Crystal,112
lodging,1394004656,51.5290096,-0.1200706,Clink 261,113
default,1407761721,47.0655785,15.4505767,realraum,114
shopping,1404740055,59.4445706,8.0075507,Camping Dalen,115
default,1385968603,51.5271838,-0.088663,Himalayan People,116
default,1418472309,50.2433201,16.1059363,Xcovers.cz,117
food,1388249810,59.3135253,18.0850366,Dionysos,118
nightlife,1426601770,55.6771501,12.5691017,Cafè Guldhornene,119
nightlife,1426601770,55.6773855,12.5694568,Heidi's Bier Bar,120
food,1402055299,19.8881185,102.1401794,Utopia Bar & Restaurant,121
default,1394311692,49.9174351,17.9193025,CA Radost,122
default,1414337601,51.5176692,-0.1343142,CeX,123
default,1483131113,31.7713751506284,72.8915405273437,KAMRAN CHATTHA,9064
default,1390325167,45.5019349,9.1370482,Juniorbit Sas - Informatica,125
food,1405180962,59.2961262,18.053015,Sushibar Satzuma,127
cafe,1389354644,50.1008874,14.4171779,Alchymista,87
lodging,1405576634,51.0851087,-114.2085113,Sandman Hotel & Suites Calgary West,92
default,1483131120,31.7223266802243,72.8489685058594,KAMRAN CHATTHA,9065
default,1413043777,46.7716796,23.5898366,Chaos Cowork Cluj,129
default,1409042966,43.6931896,-79.3423214,Benjamin Sports Inc.,135
grocery,1398233116,53.3675802,-1.497067,J. H. Mann - Fishmonger,132
cafe,1389704296,55.8318061,-4.2796174,The Brooklyn Café,133
default,1432506902,41.9761838,2.8198917,Farmàcia Simon Bombi,134
lodging,1405579918,49.8824414,-119.440302,Sandman Hotel & Suites Kelowna,163
lodging,1389222642,53.7678697,10.7680096,Gästehof Apolony,136
lodging,1385501721,50.0180775,16.8796875,Chalupa Komňátka,137
default,1483131135,31.8256484960194,73.0680084228516,KAMRAN CHATTHA,9066
food,1405258104,61.4991966,23.7547799,Vegemesta,139
attraction,1401468698,54.4358207,-2.9642364,University of Cumbria Ambleside Campus,140
cafe,1422638677,48.5774555,13.4704152,Burgcafé,142
food,1416232799,48.2052633,16.3745292,Tian Restaurant,143
food,1418692590,27.777371,-82.631548,400 Beach Seafood,145
food,1408767986,27.7709052,-82.6523574,Ferg's Sports Bar & Grill,146
food,1396080298,39.3475198,-76.4505536,Mama Rosa Rotisserie & Grill,154
attraction,1385547188,49.9335938,14.3165338,"Dětské Centrum Hobík (školka, kroužky)",147
default,1385681450,49.9208226,14.2364788,gobit.cz - umožňuje přijímat platby v bitcoinech,148
default,1396344165,57.6549895,11.9017638,Primaleva Massage,149
attraction,1396538879,52.3819756,4.8703456,Filmhuis Cavia,150
food,1375365302,42.8431935,74.5905907,Dolce Vita,151
food,1404213034,45.9763815,8.4027712,Lago delle Rose,152
shopping,1394677112,40.9076669,-74.5519558,Macy's,159
shopping,1398541713,31.7125521,35.2243887,Hawsib Information Technologies,156
food,1384007933,51.3677106,6.1510963,Adana Grill,157
food,1383999916,51.3674702,6.1511367,Joseph Grill,158
shopping,1394676758,40.9073762,-74.5552585,Lord & Taylor,160
food,1395115329,28.1000502,-82.3995584,China City,165
food,1413379588,51.8453363,5.8688296,De Nieuwe Winkel,161
food,1384022274,55.9317618,37.5202352,Subway,162
default,1398793100,45.4001728,-75.7115951,Sun of A Gun,164
default,1394239136,45.4264515,-75.6939621,http://www.themodernshop.ca/,170
shopping,1397057901,47.6648179,-122.2958156,Counterbalance Bicycles,171
default,1417699718,51.4767866,-3.1787073,CeX Cardiff,166
default,1365876147,48.1442725,17.1065474,Progressbar,167
food,1429107086,50.0864594,14.4053181,U Malířů,168
nightlife,1417216944,46.5183958,6.6340684,QWERTZ,169
nightlife,1402005836,32.7478087,-117.1297638,Rooted Kava Bar,131
nightlife,1390044177,-37.80524,144.983027,Grumpy's Green,130
default,1388753318,53.284784,-6.1327079,Michal Photo,128
default,1412783131,49.7808809,14.4503536,Andrago Winery,173
shopping,1373125113,48.8431028,2.2443054,John Landot,175
lodging,1405579333,49.296331,-117.6555992,Sandman Hotel Castlegar,189
lodging,1365922552,37.7937071,-122.4042094,Pacific Tradewinds Hostel,180
default,1394048908,51.0859286,17.016939,soon bitcoinkiosk.ch,179
food,1397269594,30.3958149,-97.7196383,Bamboo Bistro North,183
default,1401047989,-34.8662606,-58.0425912,Farmacia Optica Agostini,181
shopping,1385468467,47.9860263,10.1798307,Ulrich Buhmann,182
food,1397272545,30.3986564,-97.7474271,Bombay Bistro,185
default,1362308915,50.0984671,14.4359065,brmlab,184
food,1416843973,27.773918,-82.633613,The Ale and the Witch,194
lodging,1418307770,42.7621292,27.8294873,EcoHotel Gora,187
shopping,1426900708,43.5495948,-79.5876526,Euro Flowers,193
cafe,1418634218,52.3739428,9.7064773,Bohne,190
default,1408378523,55.8654691,-4.2627761,CeX Glasgow Sauchiehall,192
lodging,1405576418,50.9815732,-114.0452219,Sandman Hotel & Suites Calgary South,215
food,1396332282,39.0408505,-94.4175927,King Wok,199
transport,1423738983,46.0384428,11.1230431,Area di Servizio Petrol-Airport,195
food,1429528825,10.556875,-61.415486,Nick's Cafe,197
lodging,1418408492,39.2160131,9.1111319,Affittacamere B&B Cagliari Novecento,198
food,1396333406,39.0402008,-94.4160484,Mama Garden,201
food,1415272730,40.4351252,-3.6835198,Bofinn,200
food,1415272615,40.4365907,-3.6865757,Tamero,202
food,1403285375,40.437361,-3.6865518,La Úrsula,203
food,1415272642,40.437451,-3.6865027,La Taberna,204
food,1415272509,40.4361646,-3.6848207,La Armonia,205
food,1415272593,40.4361971,-3.6862478,Mesón 5Jotas,206
food,1415272574,40.4364074,-3.6861892,Ori,207
food,1415272698,40.4351692,-3.6849646,El Séptimo,208
food,1415272713,40.4352013,-3.6844928,El Asador de Aranda,209
default,1407061614,52.5177555,13.4581799,do you space,211
shopping,1403451621,47.063834,15.4423455,Fahrradküche Graz,212
shopping,1380906332,52.5133689,13.462218,Tricky Tunes,213
default,1409162341,60.1645366,24.9327511,Helsinki Shooting Club,214
lodging,1405578763,43.6422697,-79.6311358,Stage West,172
attraction,1385815253,49.8807247,-119.504094,Doctor Recommended,176
food,1413064829,39.9991059,-105.2539748,Moe's Original Bar B Que,177
default,1465975365,48.8293565716664,2.36894845962524,L'atelier de l'éphémère,8227
default,1488434921,50.1106437171936,14.4665479660034,Seoul Coin,9527
default,1488455740,48.2046409519133,16.3740867376328,Stadler Völkel Rechtsanwälte,9528
default,1402449591,42.6402694,-73.784384,Organica: Garden Supply & Hydroponics,219
default,1415410545,37.4269015,-122.1479633,Red Door Movie Rental,221
food,1367401404,42.3636635,-71.1011293,VeggieGalaxy,222
shopping,1418872293,39.9724031,-75.1345113,The Bicycle Stable,226
food,1397301292,30.2689156,-97.7428345,Thai Passion - Downtown,227
lodging,1395831877,46.5637114,11.4136741,Bergasthof Plörr,318
grocery,1423589906,45.888989,11.0439284,Drogheria Micheli,223
shopping,1393556209,48.1471429,17.1188022,Silver Moon,224
lodging,1392415051,51.9151473,4.4643255,Hotel van Walsum,225
food,1395400820,39.1850563,-96.5740607,Green Tea Sushi Bar,228
lodging,1388651481,35.572302,-121.1120376,Mariner's Inn,230
default,1388441567,43.1550576,-77.6189344,Netsville,232
nightlife,1409824787,40.4326692,-3.6872715,Callejón de Serrano,229
shopping,1383176751,45.6723056,-111.0740236,Rooks Comics and Games,242
food,1389025552,40.7616461,-111.8885341,Pie Hole,244
default,1383905170,53.2588316,7.924502,Rechtsanwalt Daniel Dietrich,233
default,1414404490,51.5821466,-0.3323122,M & M Hair and Beauty,234
default,1417699719,51.5821146,-0.3323591,CeX Harrow,235
default,1424461007,51.0597214,3.7326004,Whitespace,236
nightlife,1428010563,51.0547053,3.7215045,5 voor 12,237
food,1393939077,12.9280252,100.874346,Pattaya Beer Garden,238
default,1374227669,45.4609305,9.1061094,MBR Architettura,240
default,1418083670,39.7548245,-104.9871359,Unleaded Group,247
food,1388764725,54.315705,8.6083517,Friesenkate,243
food,1390081801,53.2039061,-6.1011288,3 Amigos,245
cafe,1401361632,48.191622,16.3951162,Cafe & Bar Diesels,246
food,1404804983,-34.596169,-58.3732278,Porto Pirata,248
cafe,1392000270,42.6540939,-73.7504154,The French Press Cafe & Creperie,218
food,1401180699,45.4797273,9.2210821,EDA Milano,250
food,1396010273,37.7510094,-97.2617458,Two Brothers BBQ Woodlawn,253
food,1397299467,30.3578376,-97.7329828,Pho Thaison Vietnamese Cuisine,254
food,1405720718,54.6726313,25.2795982,Pilėnai,255
lodging,1386712407,42.8747552,24.639129,Азарея,256
shopping,1411820435,51.049848,3.7213797,Gameswap,257
cafe,1400745515,59.3117663,18.0788131,Twang,217
default,1466020184,52.730964493116,15.23606300354,Detektywi Gorzów,8228
attraction,1386944559,53.2710389,19.7032346,"Gospodarstwo Agroturystyczno - Ekologiczne""Stajnia Leźno""",280
food,1418872254,39.9665561,-75.1391589,PYT,264
lodging,1385830645,48.4506331,18.9057165,Apartmán ajaj,263
default,1419672706,37.4855589,-122.2264733,It Is Vapor,266
shopping,1433312817,45.869228,10.8760253,Bertamini,265
food,1399490129,42.3636159,-71.1010542,Moksa,269
default,1389110463,53.6528377,10.163109,n7media - Agentur für Kommunikations- und Webdesign,267
default,1400621284,51.6267552,9.0330749,Kunstkopien in Öl auf Leinwand - Dorothea Adam,268
food,1393649512,42.9630238,-85.6645169,One Stop Coney Shop,273
lodging,1373401799,-32.8883981,-68.8448455,Hotel San Martín,270
food,1398602987,45.6771049,12.2857136,Pizzeria Tiepolo,271
shopping,1381173257,52.4888868,13.3947046,Otherland,272
cafe,1397296997,30.4287281,-97.7504309,Minh's Cafe,278
lodging,1400001308,53.2000961,19.6458031,Pole namiotowe,274
lodging,1403486149,-33.0268673,-71.5651245,La Casa del Almirante,275
default,1397052767,45.5815867,8.1048822,michele silvestri,276
attraction,1374240336,47.3810339,8.5338035,Das Russische Sprachstudio,277
default,1385489709,40.7389191,-73.9907073,Steve Alper DMD,282
food,1387841036,52.1549622,5.3745371,Jia,283
default,1414180363,48.1872898,16.3733152,BOTENDIENST|QUICKTRANSPORT.AT,284
food,1393078866,26.6428482,-81.86325,ZCrêpes Café,288
grocery,1432929222,60.1603553,24.9195985,K-Market Jätkäsaari,286
lodging,1431604176,50.8493957,2.882953,La Porte Cochère,287
default,1387380611,40.5009856,-74.6529196,Bars 'N Beats Recording Studio,292
food,1417000702,60.1637887,24.9478673,Spis,289
default,1392585150,45.7703,-73.978673,PerronHosting.com,290
grocery,1365918799,37.7720246,-122.4092269,Cups and Cakes Bakery,296
lodging,1385485677,60.193792,24.956026,Cheapsleep Hostel,293
default,1421255818,13.8635545,100.6171651,กองตำรวจสื่อสาร,295
food,1397053676,35.4950363,-97.5317178,Lido Asian Cuisine,298
default,1417178591,49.220221,17.6494571,?,297
default,1366300752,48.7096216,13.2427051,Romantikresort,259
default,1470985470,52.4097888162611,16.9013983011246,www.Manunu.eu,8418
default,1401966552,48.2243996,16.3421012,Masshemden Atelier Voglhuber,301
default,1395248839,43.4496827,-80.4910633,Sara's KW Driving Academy,321
food,1397052068,35.2115934,-97.4422524,Padthai Thai Restaurant,310
default,1385854474,37.3744381,-5.9786981,Clínica Lucq,304
default,1386234831,59.3457035,18.0954851,Alternativhälsan Östermalm,305
default,1384974419,47.3723846,8.5409899,Peyer Fine Art GmbH,306
food,1404008794,37.585497,127.0292663,이자카야 동경구락부,308
shopping,1426093958,49.6124609,17.3340746,Okrasná školka Droždín,309
default,1385474327,41.2498239,-96.0826749,CoVis CoWorking,311
default,1418747200,27.7713227,-82.6473269,Paper Street Market,322
food,1427731810,52.3881503,9.7408566,boca gastrobar,313
food,1422028740,60.0195582,22.5063515,Portside,315
nightlife,1414622890,35.663793,139.732237,awabar,316
lodging,1403522814,47.5054819,19.0614269,Paprika Hostel,317
default,1387065943,37.9776512,23.7282673,Κόμμα Πειρατών Ελλάδας - Pirate Party of Greece - Κεντρικό Γραφείο,319
default,1366300638,35.0957414,-106.658747,New Mexico Tea Company,303
food,1395123772,27.8668929,-82.6450904,Yummy Thai,323
food,1395823521,39.0150333,-95.7605191,Oriental Express,333
lodging,1405581964,51.0099889,-118.2180204,Sandman Hotel Revelstoke,302
default,1430906697,52.3285705,9.7754914,Lumen GmbH,325
default,1403104868,52.2002489,21.0776991,Centrum Mebli Rattanowych i Stylowych,326
default,1391106738,52.2248906,20.9573612,Elektro-Instalacje,327
lodging,1407564935,-8.4939982,115.2775511,Viceroy Bali,328
food,1386790407,46.2113057,6.1485351,Crêperie des Pâquis,329
grocery,1428655290,60.1875733,24.918532,K-Market Mansku,330
attraction,1387227911,32.0700275,34.773014,michal kindergarden,331
default,1391209696,32.091112,34.787301,Didoo Cafe,332
food,1395821389,39.0278373,-95.7254529,Asian Cafe,334
lodging,1390882878,25.7805541,-80.1309841,Clevelander Hotel,335
default,1391293171,39.8231819,-75.8819666,Penn Animal Hospital,339
default,1381316515,52.1073717,20.6412159,Aurelius Interactive,336
default,1391542470,50.0380472,22.0338827,Bezpol,337
cafe,1367599242,49.223973,18.739157,Literárna kaviareň,338
default,1384001715,-37.8694322,144.9803739,Eclectico,324
lodging,1397329635,64.1540263,-21.9986506,Blue House B&B,300
default,1466061737,47.1119916118434,7.22741603851318,Jürg Kradolfer,8231
default,1403706028,46.1934179,6.1407722,Venusia,341
shopping,1414224449,38.5956986,-121.3983679,Arden Jewelers,345
lodging,1401231528,-2.8969103,-79.0139429,Apartamentos Otorongo,344
shopping,1418225950,27.7713544,-82.6426345,The Trunk Stylists,349
food,1398449168,49.200092,-122.9115154,RE-UP BBQ,366
default,1414403971,53.7995573,-1.5443754,CeX Leeds,348
shopping,1411768866,48.1148885,-122.7567278,The Broken Spoke,353
default,1418556044,50.0392863,14.3323303,JSV International Assistant Service,351
cafe,1383705816,45.5046824,-122.6421431,Papa G's,364
default,1387368257,52.5313206,13.4231381,artx Designagentur Berlin,354
cafe,1420457905,59.3347281,18.0786645,Blueberry,355
nightlife,1389625820,49.8370839,18.1822722,DRUŽBA BOULDERING WALL,356
default,1418404190,32.0805836,-81.0907363,Anonymous Tattoo,368
nightlife,1419373070,45.8881405,11.0443447,Mani Al Cielo,358
shopping,1414690317,48.1807703,16.3333442,Malefitz,359
cafe,1404048837,-37.794259,144.998243,Squirrel Café,370
cafe,1385989606,57.6986649,11.9684561,Foxx Bar,361
default,1427897546,45.8907824,11.0364056,Bellezza Studio,362
default,1380210113,-32.9337069,-68.8625203,Ventonegro - Mountain Guide,696
food,1391453531,49.8396681,8.1131385,Mare Nero,363
food,1395399369,39.1860273,-96.5728488,Bi Bim Bap Korean-Japanese Sushi Restaurant,375
nightlife,1362078778,-23.5565056,-46.6922432,Bar e Bicicletaria Las Magrelas,365
default,1390642337,41.1304234,-81.5080686,Underhill's Games,343
lodging,1362409232,-23.7860366,-45.5616388,Kyrios Pousada,367
food,1418693474,27.7712825,-82.653952,Brooklyn South,373
default,1378982954,52.30844,21.15293,MusicON,369
lodging,1385686096,36.9200158,15.157466,Apartment Eucalyptus,371
cafe,1399448731,50.447473,30.5158687,Циферблат,372
food,1426278006,49.1927975,16.6096883,SUBWAY Zelny trh,376
default,1365897674,51.5321142,-0.0608219,London Hackspace,377
default,1403865667,45.4653323,9.1844258,Il Giornale,378
food,1410131953,-37.83049,144.956894,The South Melbourne Trader,360
default,1481716520,-19.8612660684149,-43.9574253559113,Lan Gamer,8976
default,1483131143,31.8157299428383,72.9059600830078,KAMRAN CHATTHA,9067
nightlife,1422015840,52.3681975,9.7205471,LUX,381
food,1387200321,49.1839015,16.7609876,SUBWAY Rohlenka,382
default,1406959880,44.7992416,20.3898505,Ineo,383
default,1398989106,64.146661,-21.954324,Hringbraut,384
default,1398989106,64.1477119,-21.9513614,Hávallagata,385
nightlife,1400150559,32.0714337,34.7803113,פיקוק,387
shopping,1404634568,32.0714269,34.7802469,דודי בן ישי - Dudi Ben Yishay,388
food,1416844255,27.771341,-82.650522,Ricky P's,394
lodging,1417016136,-34.6153111,-58.3798969,Hotel Viejo Telmo,391
lodging,1417446920,-34.5930895,-58.3795149,Hotel Argenta Tower,392
lodging,1417646649,-34.606136,-58.395126,Hotel Boutique Le Vitral Baires,393
nightlife,1365972694,40.7524774,-73.984652,EVR NYC,398
default,1365905823,24.121471,-110.3026602,Qrubit,395
default,1367168403,52.6114825,11.8698283,Edds Englisch,396
food,1365927560,32.0591092,34.7710971,בר-קיימא,397
default,1366040095,36.1258841,-115.2327178,Vegas Budget Dental,400
shopping,1366214109,38.9699111,-94.6669718,Overland Park Jeep Dodge Ram Chrysler,405
food,1366041933,38.3032742,20.6012471,Carena Bar - Restaurant,401
attraction,1366126955,-34.4695284,-58.5198403,CESYT,403
lodging,1366303792,43.651902,-79.4074544,Urban Living Suites,407
default,1366300019,38.8558931,-104.7132847,Total Roofing,406
default,1366438893,34.1643282,-118.3740182,Model Printing internet cafe,408
default,1386553782,37.3780322,-122.0328367,Mac's Coins & Collectables,380
food,1397050219,41.5008146,-81.5652517,Parnell's Pub,409
default,1366642103,40.7954798,-85.8241762,INGUARD,411
default,1380210672,-33.5203143,-70.545057,Temascal,697
food,1366576092,-34.5429378,-58.4827456,AntiDomingo - Restaurante -  Espacio de Arte,410
grocery,1401224144,44.9277216,-93.2238299,Elevated Beer Wine & Spirits,412
default,1366643318,39.7961477,-86.02414,Caring Dentists,413
lodging,1367185598,38.4147973,-79.5848885,Arbogast Inn,415
default,1366652041,32.7851831,34.9868298,חבר על ארבע,414
sports,1366822264,38.9625124,-94.8917005,Peeper Ranch,418
default,1414522366,48.5768535,7.8135466,BitcoinSolution UG,417
shopping,1367179666,38.1098063,-122.2629487,Cyber Computers,419
shopping,1367164525,35.0936542,-106.6432031,ABQBitcoins,420
default,1367259280,29.7633158,-95.3602521,Jay Cohen Attorney,422
default,1367166038,48.8508512,2.3693991,Ecogex,421
food,1387972036,48.8281212,2.3500641,Restaurant Le 43,423
default,1366054227,43.7298396,-79.4714987,Ark Army Surplus,402
nightlife,1398955898,49.1823853,-2.101886,The Forum,379
default,1375869241,48.3577357,10.8867806,OpenLab,425
default,1387380689,39.9620241,-75.1535149,Hive76,431
lodging,1367684440,32.7473117,35.1671927,Galilee Bedouin Camplodge,427
shopping,1367852894,55.6919311,12.5451958,Ruben og Bobby,428
default,1395248181,43.4497252,-80.4910233,Fairtax Business Services,437
shopping,1390153987,42.0439539,-87.6933691,Bucephalus Bikes,432
default,1373977128,28.2545197,-82.4675148,"Accelerated Global - Website Design, SEO, Social Media, Internet Marketing",435
nightlife,1416770680,47.4981089,19.0555471,Anker Klub,433
shopping,1368481112,37.7949012,-122.3928736,Buyer's Best Friend Wholesale & Market,438
shopping,1368481248,37.799094,-122.4082139,Mercato,439
lodging,1373113734,17.0622261,-96.7194275,El Diablo y la Sandía,436
atm,1400434246,45.4236594,-75.6812834,Bitcoin ATM @ Father and Sons,444
default,1369783344,40.2386813,-74.254887,Bear & Birch Russian Sauna,448
food,1395349473,39.1257138,-94.8266002,Stix,453
grocery,1381426513,40.3164912,-3.7209567,Mundo Nipón,440
food,1401212651,51.9833075,5.9015192,Karakter,441
default,1368726899,52.3669615,4.9371836,ZB45 makerspace,442
default,1369510312,48.1884173,17.1333048,3D tlač - MarSal Tech,445
lodging,1374079032,52.4947545,13.4193216,Lekkerurlaub,446
shopping,1367614340,30.2822276,-97.7422902,Brave New Books,426
food,1397296688,30.264266,-97.741411,Mai Thai,456
default,1384864393,-33.9309411,18.5068705,Fire & Ice - Fire dancers Cape Town,449
default,1369853427,40.1953477,-8.420859,Carregador Telemóveis Bitcoin,450
lodging,1369858527,51.4453074,-0.0475145,Schinkler B&B,451
lodging,1397823876,51.0338414,-1.7933118,Hillside B&B,452
default,1374341558,47.5542827,-122.331924,Accountable Moving & Storage,465
food,1370258723,-46.2388791,169.7384583,Nom Noms,454
default,1370347455,44.1977147,28.6276082,"Massage, Reiki, Reflexotherapy",455
default,1406220475,45.4621248,9.1734123,BLB Studio Legale,457
shopping,1373290756,32.0733562,34.7820282,Bit2c,458
shopping,1370838045,7.8978667,-72.5000885,Paisajismo Creativo,459
cafe,1379273612,45.6616644,9.5034086,Wall Street Café,461
default,1371071814,60.2474293,24.8601699,Meidänklinikka,462
default,1392136410,51.3828723,-0.1075162,Zaar Properties,463
default,1371413538,46.0324281,14.4287941,BitcoinPeople.net,464
default,1368131669,43.5964282,-79.5241625,Coworking Space Toronto,430
default,1385497198,48.2249234,16.3690078,spielend - programmieren,424
attraction,1483131158,31.8180638159099,72.7940368652344,KAMRAN CHATTHA,9068
default,1483131182,31.6855232841456,72.9093933105469,KAMRAN CHATTHA,9069
cafe,1415826389,27.7713247,-82.6477614,Everything Dolce Cafe`,472
shopping,1415273114,40.4226354,-3.6881045,Carolina Herrera,469
default,1385709246,41.645174,-0.9186542,Nestor Games,470
default,1402386618,41.628862,-0.888857,Traductor inglés/francés a español,471
default,1372266792,37.7895241,-122.4077704,My Doctor Medical Group,478
